u,g,r,i,z,ra,dec,flags_r
23.27003,21.40107,21.10463,20.86432,20.87444,180.166034066125,-0.0935373894032253,4503874782134528
23.76966,22.70819,21.08315,20.21976,19.77201,180.165285181186,-0.177386630929574,4503874782134272
21.72953,20.61804,19.83214,19.45066,19.29963,180.16750960059,-0.0132261339105473,6755674587430928
23.5033,22.82243,21.30362,20.87992,20.41225,180.023100184356,-0.0614653623504352,4503874773745664
23.14774,23.53541,22.3929,22.49794,21.96463,180.022866849303,-0.0724751319064731,4503874773712896
24.46223,23.29834,21.70341,20.62832,20.05283,180.021750400248,-0.0600199143730949,4503874773712896
22.76315,22.82666,21.89422,21.44208,21.33642,180.02293894642,-0.0685411786580635,4503874773712896
23.0163,21.83349,20.89523,20.77784,20.80721,180.022755826918,-0.192186924483928,4503874773712896
22.94164,22.37444,21.5637,21.16576,20.47679,180.022184163452,-0.130116730447484,4503874773712896
23.15569,21.92785,21.31326,20.9079,21.00119,180.021828139473,-0.0885736239472816,4503874773712896
23.05412,22.64343,22.30586,22.29582,22.83777,180.021424506937,-0.023279233442883,4503874907930624
22.88886,22.63335,21.40484,20.93844,20.40495,180.021571681805,-0.0965646661785629,4503874773746944
22.70354,20.62463,19.11662,18.49931,18.05676,180.020163922485,-0.0409596682961946,4503874773745664
23.28457,22.98726,22.16756,21.86862,20.8214,180.868471118013,-0.452121452735255,4503874907964672
22.50997,24.59286,21.72229,21.00335,20.11593,180.868531863992,-0.438529174482652,6755674587430928
22.80394,22.36666,21.75394,21.43178,21.24077,180.732008010164,-0.452006590017116,4503874773712896
22.74789,21.37414,20.45417,19.93656,19.70044,180.73144859943,-0.498926355026039,4503874773745664
23.7226,21.36442,19.79428,19.22042,18.92206,180.730156645156,-0.48676419361484,4503874782134272
21.18408,20.15831,19.67157,19.37835,19.46279,180.868656948012,-0.448410896551962,4503874773745664
23.09742,23.61198,21.92753,22.37597,21.96222,180.600407198599,-0.42079106561344,4503874773712896
25.84356,22.91327,21.73593,21.47252,21.26584,180.60030487351,-0.429053840119643,4503874773712896
23.44022,23.09517,21.93022,21.90431,21.37818,180.599341988851,-0.445779568613517,4503874773712896
24.52785,23.54747,22.35977,21.7623,20.98898,180.597479029534,-0.456022962494305,4503874773712896
22.84427,22.6092,21.35682,20.628,20.34739,180.599188979336,-0.433659779075583,4503874773712896
23.95245,24.20015,21.85506,22.61227,20.87502,180.166793195937,-0.452431061594722,4503874773746944
25.0239,22.72008,22.28577,22.04576,21.15124,180.167115310514,-0.498215983294814,4503874907963392
21.77521,20.94561,20.48053,20.31681,20.23302,180.166375832906,-0.447384290508135,4503874782134272
23.72879,23.25615,22.2613,22.98696,22.55095,180.023341802406,-0.441416856689643,4503874773712896
23.2471,23.04086,21.4961,20.96388,20.55144,180.023169340076,-0.462363644641754,4503874773712896
22.77807,22.38534,21.57149,21.00331,20.92827,180.599640742043,0.474512385158349,4503874782134528
26.45708,23.19411,21.73936,20.92236,20.13697,180.597850889517,0.425721359273226,6755674595819792
25.71717,24.34059,21.98427,20.82306,20.00643,180.866182876585,0.495178498938139,4503874782101760
25.94982,22.40222,21.52394,21.44349,20.75511,180.317347793548,0.00117919026278618,4503874773746944
23.99973,22.77052,21.85283,21.5048,20.60726,180.315675280339,0.147979547022902,49539871123046728
23.85092,21.346,20.5551,20.13983,19.68283,180.315979589013,0.0427792743804988,4503874773712896
21.71413,20.21938,19.08305,18.55036,18.20424,180.315387381486,0.00803957631455675,4503874773745664
22.68719,22.81038,22.03672,21.66081,21.00101,180.866128359479,0.411337935833828,4503874916352000
22.82159,22.25137,21.68016,21.33164,22.72711,180.866149153897,0.395163164972868,4503874773745664
25.80045,22.74096,21.28275,20.65821,20.33572,180.73242420787,0.309270791023179,4503874773712896
